,,,Proof,Point
"Viết file README.md để giới thiệu về business domain mà mọi người đang làm và high-level system deployment diagram (diagram tổng thể, kết hợp kiến thức cả khoá nha)
Mọi người lưu ý:
+ README.md cần có Repo Structure (thể hiện file/folder này làm gì),Table of Contents chia ra từng sections để người dùng dễ đọc!
+ Các hàm/class phải có docstring để mô tả hàm đó làm gì, đầu file phải có mô tả file đó làm những gì
+ mỗi thành phần chính của diagram phải là 1 deloyable unit, ví dụ Kafka là 1 deployable unit, còn Feast SDK không phải deployable unit vì không thể deploy - Xem ví dụ về diagram của các khoá trước ở đây. 
+ mũi tên nên đi theo đường truyền của dữ liệu, ví dụ nếu data truyền từ A đến B thì mũi tên đi từ A đến B, và dữ liệu thể hiện bên trên mũi tên. Còn nếu A chỉ gọi tới B, không truyển dữ liệu gì thì mũi tên từ A đến B.
+ các mũi tên nên có description và đánh số thứ tự, nếu có nhiều user flow, ví dụ end user và developer thì có thể thể hiện các màu mũi tên khác nhau và đánh số thứ tự riêng cho từng flow (ví dụ cả 2 ông đều đi từ 1->n)
+ hạn chế sử dụng mũi tên nét đứt, thường dùng cho các luồng k phải luồng chính (tức luồng liên quan trực tiếp tới các user)
",,,,
"Web API kéo dữ liệu
(Web API này sẽ dùng để kéo dữ liệu từ Online Feature store dựa trên ID (user_id, hoặc customer_id, etc.), sau đó gửi tới 1 ML inference engine)",Có sử dụng FastAPI + data validation (với pydantic),Có sử dụng FastAPI + data validation (với pydantic) + healthcheck for k8s,Capture màn hình cách mọi người handle rolling update và fall back,2
,,Sử dụng async,,2
,,Deploy to k8s with helm + rollingupdate + auto fallback (see --atomic),,2
Web API cho Real-time Drift Detection,Có sử dụng FastAPI + data validation (với pydantic),Có sử dụng FastAPI + data validation (với pydantic) + healthcheck for k8s,Capture màn hình cách mọi người handle rolling update và fall back,2
,,Sử dụng async,,2
,,Deploy to k8s with helm + rollingupdate + auto fallback (see --atomic),,2
Autoscale,Autoscale Web API kéo dữ liệu và drift detection (ví dụ dùng với KEDA để scale theo req),Web API kéo dữ liệu,Capture màn hình cách mọi người handle autoscale và demonstrate it worked!,2
,,Web API cho drift detection,,2
Validation & Verification,,"Unit test với Test Coverage > 90%
(với proof bằng screenshot thể hiện khả năng test Web API, và sử dụng fixture, mock) ",Capture màn hình đã chạy test với test coverage thoả mãn yêu cầu,2
,,"Có sử dụng kỹ thuật equivalence partitioning vs boundary value analysis khi thiết kế test cases để parametrize.
(Cái này chưa được dạy, nhưng đơn giản lắm, cả nhà coi ở đây)",Capture màn hình để thể hiện đã sử dụng các kỹ thuật này,2
,,"Có sử dụng mutation testing để đánh giá hiệu quả của các test (cái này đã dạy ở lớp rồi nha cả nhà, là cái https://mutmut.readthedocs.io/). Note that you mutate only code changed, not the whole code base everytime you push your commit! Mutation score > 80%.",Capture màn hình để thể hiện đã sử dụng các kỹ thuật này,2
,,"Idempotency testing sử dụng property-based testing (chuyên để tìm ra cái test case có thể tạo ra bug), ví dụ, để kiểm tra xem model prediction có generate ra kết quả consistent sau nhiều lần chạy không. You can use the library hypothesis for property-based testing, combine with crosshair backend to find bugs easier.",Capture màn hình để thể hiện đã sử dụng các kỹ thuật này,2
,,"Load test the Web API (cái Web API kéo dữ liệu) to understand throughput (req/s) and latency
(generate a html file with locust as SLA)",Capture màn hình HTML output,2
Improve the Data Generator,Simulate data drift,Simulate data drift,Capture màn hình thể hiện generator configuration và bảng sau khi merge id và label,2
,,Using generator configuration,,2
,"Tạo bảng label có 2 cột id và label. Bảng này sẽ dùng để join với các bảng feature cho training. 
(cột id có thể đổi thành user_id, customer_id hay gì đó tuỳ mọi người)",,,2
Feature Store,Build materialize pipeline & jobs for push streaming data into feature stores,Build data pipeline (ví dụ Airflow) để incremental materialize dữ liệu mới nhất từ offline qua online store,"+ Capture màn hình thể hiện các data pipeline và thứ tự các stage trên Airflow
+ Capture màn hình thể hiện 2 job đang chạy, và thể hiện output đã chạy thành công
+ Document tại sao chọn TTL như thế",2
,,Deploy job chịu trách nhiệm push streaming feature (ở mini-coursework) vào OFFLINE store,,1
,,Deploy job chịu trách nhiệm push streaming feature (ở mini-coursework) vào ONLINE store,,1
,,"Define TTL cho từng bảng feature, giải thích tại sao chọn TTL như thế",,2
ML,Jupyter notebook to demonstrate basic understanding of ML/DL,"Jupyter notebook để kéo dữ liệu từ offline store (thông qua Feast) để tạo ra model (dùng ML/DL).
Jupyter notebook cần đảm bảo ít nhất các step sau: 
+ Load data từ offline store thông qua Feast (nhớ merge với bảng label đã generate ở bước Improve the Data Generator nhé cả nhà!)
+ Chia data thành trainining set và validation set
+ Train model trên training dataset (không cần độ chính xác cao, tuy nhiên cần phù hợp task, ví dụ bài regression lại dùng model classification!)
+ Đánh giá trên validation dataset
+ Save model (ví dụ lưu ra dạng .joblib)",Document các step chính đã làm trong Jupyter notebook ,2
ML Pipelines,Training Pipeline,"Chuyển đổi code từ Jupyter notebook thành training pipeline với số lượng step giống ở phần notebook bên trên (sử dụng Kubeflow pipeline, cái này có thể deploy riêng mà không cần deploy cả Kubeflow).",Capture training pipeline đã run thành công + Capture màn hình thể hiện có sử dụng distributed training,2
,,"Trong training pipeline, ở step train, thay bằng distributed training, ví dụ nếu mọi người dùng model XGBoost thì có thể coi tutorial này.",,2
Versioning,Model Versioning,"Khi training pipeline hoàn tất, thông tin của MODEL (weight, hyperparam) cần được lưu trữ lại ở Model Registry (qua MLFlow)",Model đã được version và lưu trữ lại + Data tương ứng cũng được version theo cơ chế incremental,2
,Data Versioning,"Mỗi lần kéo dữ liệu từ Feast về để training, cần version lại DATA theo cơ chế incremental (ví dụ lần train thứ 2 data chỉ có 1 chút thay đổi thì chỉ lưu trữ lại phần thay đổi này thôi, tránh việc lưu full data của cả lần 1 và lần 2)",,2
"CI/CD
(CI/CD = test + build + auto-deploy)
(all secrets should be saved in Jenkins or similar tools instead of putting it inside your code!)",CI/CD cho pipelines,Materialize Pipeline,Capture màn hình từng CI/CD pipeline đã run thành công,2
,,Training Pipeline,,2
,,DP 1 (xem ở sheet mini-coursework),,2
,,DP 2 (xem ở sheet mini-coursework),,2
,,DP 3 (xem ở sheet mini-coursework),,2
,"CI/CD cho API
(CI/CD cần kéo model ở trạng thái production hoặc được gắn tag production từ model registry về, đóng gói và deploy)",Web API (với FastAPI),,2
,,Inference Engine (ví dụ KServe),,1
,,Cho real-time drift detection Web API (sử dụng KNative Eventing kết hợp với KServe),,1
,CI/CD cho jobs,Job 1: Push stream feature to OFFLINE store,,1
,,Job 2: Push stream feature to ONLINE store,,1
Routing & Gateway (NGINX Ingress Controller),Các service cần được hide đằng sau gateway,Service để coi metric (ví dụ Grafana),Capture màn hình thể hiện từng setup đã thành công,2
,,Service để coi log (ví dụ Kibana),,2
,,Service để coi trace (ví dụ Jaeger),,2
,,Web API kéo dữ liệu,,2
,Basic authentication & rate limit ở gateway (username/password),Setup authentication & rate limit cho Web API kéo dữ liệu,,2
,Setup domain & enable HTTPS,Làm cái này cho Web API kéo dữ liệu. Mọi người có thể tham khảo 2 đồ án sau: cái này và cái này ,,1
IaC,"Dùng Terraform để setup GKE hoặc các cloud services (để ý cách chia folder theo từng service nếu có, ví dụ như sau)",,"Capture màn hình thể hiện từng setup đã chạy thành công
",2
,"Dùng Ansible để configure và deploy các service lên VM 
(cần chia thành các role để code clean hơn)",,,2
Observability,Web API metrics,"Web API monitoring metrics such as req/s, num. of reqs, num. of failures, etc.","Capture màn hình thể hiện các data đã được capture, có thể coi trên các dashboard
",2
,"Computing telemetry data
(such as CPU, RAM, disk, network, etc.)",Collect và visualize metrics với Prometheus + Grafana (hoặc tool tương tự),,2
,,Tương tự cho logs,,2
,,Tương tự cho traces,,2
,ML-related telemetry data,"Airflow data drift pipeline to periodically pull data from offline feature store and compare with groundtruth and update to Grafana dashboard (via PushGateway). 
Assumption: we don't have groundtruth to monitor drift here!",,1
,,Trigger retrain by calling Kubeflow API (you can design by adding one step at the end of the Airflow data drift pipeline),,1
A/B Testing,"When you deploy a new model, don't replace the old one directly, you should do A/B test, monitor it, and deploy. It's simple, take a look here",Perform A/B traffic split for 2 versions of inference service (deploy via CI/CD),Capture màn hình thể hiện cách mọi người thực hiện A/B test và dashboard để đánh giá kết quả A/B test,1
,,"Setup monitoring dashboard to monitor 2 versions.
Assumption: we also don't have groundtruth to monitor drift here!",,1
Security,Centralize secret management,Centralize secret management via Hashi Corp Vault (or similar tools) so it will be used across the whole organization.,"Capture màn hình thể hiện cách mọi người thực hiện centrailize secret management
",1
,Service to service authentication,Using service mesh to authorize access from service to service,Capture màn hình thể hiện cách mọi người thực hiện authorize service-to-service,1
Repository Design,Clean Code + clean repo + demonstrate the use of Design Pattern,,Capture màn hình thể hiện Design Pattern đã được sử dụng trong code,2
