,,,Proof,Point
"Viết file README.md để giới thiệu về business domain mà mọi người đang làm và high-level system deployment diagram cho module này
Mọi người lưu ý:
+ README.md cần có Repo Structure (thể hiện file/folder này làm gì),Table of Contents chia ra từng sections để người dùng dễ đọc!
+ Các hàm/class phải có docstring để mô tả hàm đó làm gì, đầu file phải có mô tả file đó làm những gì
+ mỗi thành phần chính của diagram phải là 1 deloyable unit, ví dụ Kafka là 1 deployable unit, còn Feast SDK không phải deployable unit vì không thể deploy - Xem ví dụ về diagram của các khoá trước ở đây. 
+ mũi tên nên đi theo đường truyền của dữ liệu, ví dụ nếu data truyền từ A đến B thì mũi tên đi từ A đến B, và dữ liệu thể hiện bên trên mũi tên. Còn nếu A chỉ gọi tới B, không truyển dữ liệu gì thì mũi tên từ A đến B.
+ các mũi tên nên có description và đánh số thứ tự, nếu có nhiều user flow, ví dụ end user và developer thì có thể thể hiện các màu mũi tên khác nhau và đánh số thứ tự riêng cho từng flow (ví dụ cả 2 ông đều đi từ 1->n)
+ hạn chế sử dụng mũi tên nét đứt, thường dùng cho các luồng k phải luồng chính (tức luồng liên quan trực tiếp tới các user)
",,,,
Engineering Fundamentals,Docker & Docker Compose,Có sử dụng Docker & Docker Compose,Document Docker image đã reduce từ bao nhiêu tới bao nhiêu thông qua phương pháp optimize gì,1
,,Optimize Dockerfile (ví dụ multistage build),,2
Implement Data Generator,Simulate offline data problems,Simulate skew,"Capture màn hình output để summarize chất lượng dữ liệu đã generate
- Skew distribution (city/category %)
- Cardinality: approx_count_distinct by ID
- Schema evolution: nulls in old partitions
- Duplicate rate before/after dedup
- Streaming burst/late/duplicate rates
) 
+ Document data characteristic (ví dụ data volume, data format sau lưu trữ)
+ Document config generator",2
,,Simulate high cardinality,,2
,,Simulate schema evolution,,2
,,"Simulate another offline data problem 
(Ví dụ: 2% duplicate rate)",,2
,,Using generator configuration,,2
,,"Store data after simulating so that we can ingest to Bronze zone later
(Ví dụ: Dùng MinIO/PostgreSQL để mô phỏng data đang ở department khác và mình cần kéo về)",,2
,Simulate streaming data problems,Simulate burst,Tương tự như Simulate offline data,2
,,Simulate late arrivals,,2
,,"Simulate another streaming data problem 
(Ví dụ: 1.5% duplicate rate)",,2
,,"Using generator configuration
(
Ví dụ: 
n_customers: 120000
n_products: 45000
days_history: 180
)",,2
Processing Jobs,Spark job to handle offline data problems,Baseline (without optimization),"Document giải thích từng step optimize từ baseline như thế nào, dùng Spark UI như thế nào (với screenshots để thấy rõ vấn đề), và đã tích hợp vào Airflow pipeline ra sao",2
,,"Handle skew with explanation 
(Ví dụ: Do data bị skew như thế này, tôi thấy từ Spark UI có vấn đề như này, tôi sẽ có các phương pháp thử nghiệm như thế này, và sau khi thử nghiệm thì nó tăng ntn so với baseline)",,3
,,Handle high cardinality with explanation,,3
,,Handle schema evolution with explanation,,3
,,Handle other offline data problem with explanation,,3
,,Spark job được tích hợp vào các data pipeline,,2
,"Flink job to handle streaming data problems
(later in final coursework, we will merge this streaming pipeline into the feature store)",Baseline (without optimization),"Document giải thích từng step optimize từ baseline như thế nào, dùng Flink UI như thế nào (với screenshots để thấy rõ vấn đề)",2
,,Handle burst with explanation,,3
,,Handle late arrival with explanation,,3
,,Handle other streaming problem with explanation,,3
,,Window processing,Capture đoạn code thể hiện khả năng xử lý Window trong Flink,2
Data Storage,How to optimize your data storage ,"Lakehouse (ví dụ compaction để gom nhiều file nhỏ thành file lớn, z-order hoặc partitioning)",Capture đoạn code và phân tích đã optimize được những gì so với chưa optimize,2
,,Datawarehouse (ví dụ indexing),,2
"Data Pipeline Orchestration
(all connection and variables should be put inside Airflow to reuse across pipelines!)",Pipeline to ingest raw data into bronze zone (DP1),Ingest stage,Capture màn hình pipeline trên Airflow UI thể hiện các stage và thứ tự trong pipeline,2
,,Validate stage,,2
,"Pipeline to ingest data from bronze zone into silver and gold zone 
(or bronze -> gold only) (DP2)",Ingest stage,Capture màn hình pipeline trên Airflow UI thể hiện các stage và thứ tự trong pipeline,2
,,Validate stage,,2
,"Pipeline to compute offline feature table (DP3)
(Ví dụ: f_customer_total_orders_90d)",Ingest stage,Capture màn hình pipeline trên Airflow UI thể hiện các stage và thứ tự trong pipeline,2
,,Validate stage,,2
Data Governance,DP1 linked with related tables,Lineage between the pipeline and tables,"Capture màn hình pipeline trên DataHub UI thể hiện lineage, validation và data contract",2
,,Data validation and data contract,,2
,DP2 linked with related tables,Lineage between the pipeline and tables,"Capture màn hình pipeline trên DataHub UI thể hiện lineage, validation và data contract",2
,,Data validation and data contract,,2
,DP3 linked with related tables,Lineage between the pipeline and tables,"Capture màn hình pipeline trên DataHub UI thể hiện lineage, validation và data contract",2
,,Data validation and data contract,,2
"Documentation 
(tất cả documents để trong folder `docs/`, và ở README.md thì mọi người link tới mấy document này nhé. README.md chỉ summarize thôi, và nếu ai muốn đọc chi tiết các document optimize hoặc schema design thì đọc thêm ở trong docs/)
(các capture màn hình cũng nên đính ở trong document để mô tả rõ mục đích từng cái muốn thể hiện điều gì, thay vì chỉ để một đống ảnh trong folder và để reviewer tự hiểu, tốt nhất nên có 1 file doc trong mỗi phần to trong folder docs/, ví dụ IaC.md thể hiện các output/document của step này, hoặc Security.md, etc.)",Schema design,Visualize tables on all zones,Capture màn hình trên DBeaver,2
,,"Dim table with SCD 2 
(valid_from_ts, valid_to_ts, is_current)",,2
,,Feature tables (feat_ tables) with 2 columns event_timestamp and created,,2
,,"Relationship between dim & fact tables
(You can simply export via DBeaver or similar tools) ",,2
,,"Naming convention
(- Gold layer: `dim_`, `fact_`, `obt_`, `feat_`, `raw`, prefix or similar)
(- Bronze & Silver layer: `raw_`, `stg_` prefix or similar)",,2
"Novel ideas 
(không nhất thiết tự sáng tạo ra cái gì, có thể nghiên cứu dùng thêm các công cụ, hoặc kỹ thuật gì đó không được dạy ở EDAI)
(Ví dụ: Nghiên cứu thêm Airbyte job to handle data ingestion)",Idea 1,,Document idea + proof it worked!,5
,Idea 2,,Document idea + proof it worked!,5
,,,Sum,100
